postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2022-11-28,Instituto Superior Sise,Analisis De Sistemas,Graduado,Otro,6
2022-11-25,Universidad Antonio Ruiz De Montoya,Ing. Industrial,Graduado,Universitario,2
2022-11-24,Universidad Del Pacifico,Procesos / Calidad Total,Graduado,Posgrado,2
2022-11-24,Universidad Nacional Federico Villarreal,Ing. Industrial,Graduado,Universitario,1
2023-03-31,Universidad Nacional Federico Villarreal,Ing. En Sistemas,Graduado,Universitario,1
2022-11-23,Mbs Montpellier Business School,Finanzas,Graduado,Master,5
2022-11-18,Istqb,Tecnologias De La Informacion,Graduado,Otro,6
2022-11-15,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2022-11-10,Universidad Nacional Agraria La Molina,Ing. Alimentos,Graduado,Otro,5
2022-11-10,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,En Curso,Universitario,1
2022-11-08,Universidad De San Martin De Porres,Ing. En Sistemas,Graduado,Otro,1
2022-11-08,Ponificia Universidad Catolica Del Peru,Tecnologias De La Informacion,Graduado,Universitario,1
2022-11-07,Ilen,Ing. Industrial,Graduado,Otro,4
2022-11-07,Sissertel-Certmind,Ing. En Sistemas,Graduado,Otro,15
2022-11-06,Universidad De La Rioja,Ing. - Otros,Graduado,Master,3
2023-03-29,Capacity,Ing. Informatica,Graduado,Otro,12
2022-11-01,Cibertec,Ing. En Sistemas,Graduado,Terciario/Tecnico,2
2022-10-30,Universidad Nacional De Piura,Ing. Quimica,Graduado,Universitario,1
2022-10-30,Universidad Inca Garcilaso De La Vega,Bachiller,Graduado,Universitario,1
2022-10-28,Universidad Cesar Vallejo,Ing. - Otros,Graduado,Universitario,2
2022-10-27,Universidad Nacional Mayor De San Marcos,Ing. Industrial,Graduado,Universitario,1
2022-10-26,Univeridad Privada Del Norte,Ing. Industrial,En Curso,Universitario,2
2022-10-26,Universidad Nacional Jose Faustino Sanchez Carrion,Bachiller,En Curso,Universitario,2
2022-10-25,Instituto Superior Sise,Marketing / Comercializacion,En Curso,Terciario/Tecnico,2
2022-10-25,Universidad De Ciencias Aplicadas Upc,Ing. En Sistemas,Graduado,Universitario,4
2022-10-24,Pontificia Universidad Catolica Del Peru,Contabilidad / Auditoria,Graduado,Universitario,1
2023-03-28,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Universitario,1
2022-10-24,Senati - Programa Nacional De Informatica,Ing. Agronomo,Graduado,Terciario/Tecnico,1
2022-10-24,Universidad Privada Del Norte,Ing. Industrial,Graduado,Universitario,1
2022-10-24,Utp,Tecnologias De La Informacion,Graduado,Universitario,1
2022-10-22,Universidad Nacional De Trujillo,Ing. Quimica,Graduado,Universitario,1
2022-10-21,Universidad Nacional De San Martin,Ing. En Sistemas,Graduado,Universitario,1
2022-10-21,Escuela Empresarial Del Peru,Adm. De Empresas,Graduado,Otro,3
2022-10-20,Alicorp,Procesos / Calidad Total,Graduado,Master,3
2022-10-20,Instituto Computrom,Contabilidad / Auditoria,Graduado,Terciario/Tecnico,2
2022-10-20,Universidad Privada Del Norte,Finanzas,En Curso,Universitario,4
2022-10-20,Universidad De Lima,Adm. De Empresas,Graduado,Universitario,1
2023-03-28,Universidad Privada Sergio Bernales,Ing. En Sistemas,Graduado,Universitario,1
2022-10-19,Scrumstudy,Tecnologias De La Informacion,Graduado,Terciario/Tecnico,11
2022-10-19,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,2
2022-10-19,Universidad Nacional Del Callao,Ing. En Sistemas,Graduado,Universitario,1
2022-10-19,Universidad Nacional De Trujillo,Ing. Informatica,En Curso,Posgrado,4
2022-10-18,Universidad Nacional De Ingenieria,Ing. Informatica,En Curso,Posgrado,12
2022-10-18,Universidad Cesar Vallejo,Analisis De Sistemas,Graduado,Universitario,2
2022-10-18,Universidad Privada Juan Mejia Baca,Finanzas,Graduado,Universitario,1
2022-10-18,Universidad Nacional Agraria La Molina,Ing. Alimentos,Graduado,Universitario,1
2022-10-17,Universidad Privada Antenor Orrego - Trujillo,Ing. Industrial,Graduado,Universitario,1
2022-10-17,Instituto Superior Tecnologico Manuel Seoane Corrales,Quimica,Graduado,Terciario/Tecnico,1
2023-03-27,Usat,Ing. En Sistemas,Graduado,Posgrado,1
2022-10-17,Isil,Comercio Int./Ext.,Graduado,Otro,2
2022-10-17,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,1
2022-10-17,Universidad Inca Garcilaso De La Vega,Ing. Industrial,Graduado,Posgrado,1
2022-10-17,Universidad Esan,Finanzas,Graduado,Posgrado,2
2022-10-17,Escuela De Post Grado - Universidad San Ignacio De Loyola,Finanzas,En Curso,Master,9
2022-10-10,Instituto De Formacion Empresarial - Ife,Tecnico,Graduado,Terciario/Tecnico,2
2022-10-09,Universidad Privada San Juan Bautista,Ing. En Sistemas,Graduado,Universitario,1
2022-10-03,Universidad Femenina Del Sagrado Corazon,Ing. En Sistemas,Graduado,Universitario,1
2022-09-30,Universidad De San Martin De Porres,Adm. De Empresas,Graduado,Posgrado,2
2022-09-30,Tecsup,Ing. Industrial,En Curso,Posgrado,7
2023-03-25,Jb Enterprise Group,Ing. En Sistemas,Graduado,Otro,8
2022-09-29,Universidad Nacional Del Callao,Ing. Quimica,Graduado,Posgrado,2
2022-09-29,Manuel Arevalo Caceres,Ing. Alimentos,Graduado,Terciario/Tecnico,1
